PORT,DESCRIPTION,STATUS,VLAN,DUPLEX,SPEED,TYPE,MODE,DATAVLAN,VOICEVLAN,ALLOWEDVLANS,NATIVEVLAN,PORTCHANNEL,PCMODE,OTHER,MAC_ADDRESS,IP,MACVLAN,MANAGEMENT_IP,DESTINATION_HOST,REMOTE_PORT,MODEL
Gi4/34,,connected,330,a-full,a-1000,10/100/1000BaseT,,330,24,,,,,"Building configuration...

Current configuration : 118 bytes
!
interface GigabitEthernet4/34
 switchport
 switchport access vlan 330
 switchport voice vlan 24
 no ip address
end
",90fb.a684.6c7d,172.20.230.31,Vlan330,,,,
Gi4/35,call pilot c lan,notconnect,20,full,auto,10/100/1000BaseT,access,20,,,,,,"Building configuration...

Current configuration : 145 bytes
!
interface GigabitEthernet4/35
 description call pilot c lan
 switchport
 switchport access vlan 20
 switchport mode access
 no ip address
end
",,,,,,,
Gi4/38,,connected,256,full,100,10/100/1000BaseT,access,256,,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet4/38
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 speed 100
 duplex full
end
",00a0.9831.2044,not found,,,,,
Gi4/40,*---Cisco VM Access---*,connected,255,a-full,a-1000,10/100/1000BaseT,access,255,24,,,,,"Building configuration...

Current configuration : 177 bytes
!
interface GigabitEthernet4/40
 description ---Cisco VM Access---
 switchport
 switchport access vlan 255
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",286f.7fff.6f5c,192.168.255.134,Vlan255,192.168.255.134,AP286F.7FFF.6F5C,GigabitEthernet0,cisco AIR-AP3802I-B-K9
Gi4/43,call center vmware,notconnect,20,full,auto,10/100/1000BaseT,access,20,,,,,,"Building configuration...

Current configuration : 147 bytes
!
interface GigabitEthernet4/43
 description call center vmware
 switchport
 switchport access vlan 20
 switchport mode access
 no ip address
end
",,,,,,,
Gi4/44,port channels to 5508 primary ,connected,trunk,a-full,a-1000,10/100/1000BaseT,trunk,,,"9,16,20,24,200,252,255,256,300,900",,15,on,"Building configuration...

Current configuration : 261 bytes
!
interface GigabitEthernet4/44
 description port channels to 5508 primary 
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 9,16,20,24,200,252,255,256,300,900
 switchport mode trunk
 no ip address
 channel-group 15 mode on
end
",,,,192.168.255.250,WTC-5508,GigabitEthernet0/0/1,AIR-CT5508-K9
Gi4/45,,connected,trunk,a-full,a-1000,10/100/1000BaseT,trunk,,,"9,16,20,24,200,252,255,256,300,900",,15,on,"Building configuration...

Current configuration : 217 bytes
!
interface GigabitEthernet4/45
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 9,16,20,24,200,252,255,256,300,900
 switchport mode trunk
 no ip address
 channel-group 15 mode on
end
",,,,192.168.255.250,WTC-5508,GigabitEthernet0/0/3,AIR-CT5508-K9
Gi4/46,port channels to 5508 primary ,disabled,1,full,auto,10/100/1000BaseT,trunk,,,"9,16,20,24,200,252,255,256,300,900",,15,on,"Building configuration...

Current configuration : 271 bytes
!
interface GigabitEthernet4/46
 description port channels to 5508 primary 
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 9,16,20,24,200,252,255,256,300,900
 switchport mode trunk
 no ip address
 shutdown
 channel-group 15 mode on
end
",,,,,,,
Gi4/48,Port channel to 5508 primary,connected,trunk,a-full,a-1000,10/100/1000BaseT,trunk,,,"9,16,20,24,200,252,255,256,300,900",,15,on,"Building configuration...

Current configuration : 259 bytes
!
interface GigabitEthernet4/48
 description Port channel to 5508 primary
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 9,16,20,24,200,252,255,256,300,900
 switchport mode trunk
 no ip address
 channel-group 15 mode on
end
",,,,192.168.255.250,WTC-5508,GigabitEthernet0/0/4,AIR-CT5508-K9
Gi5/3,,disabled,1,full,auto,10/100/1000BaseT,,,,,,,,"Building configuration...

Current configuration : 61 bytes
!
interface GigabitEthernet5/3
 no ip address
 shutdown
end
",,,,,,,
Gi7/2,,notconnect,1,full,auto,10/100/1000BaseT,,,,,,,,"Building configuration...

Current configuration : 63 bytes
!
interface GigabitEthernet7/2
 switchport
 no ip address
end
",,,,,,,
Gi7/3,,connected,9,a-full,a-1000,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 89 bytes
!
interface GigabitEthernet7/3
 switchport
 switchport access vlan 9
 no ip address
end
",,,,,,,
Gi7/4,freightliner users,connected,255,a-full,a-1000,10/100/1000BaseT,access,255,,,,,,"Building configuration...

Current configuration : 147 bytes
!
interface GigabitEthernet7/4
 description freightliner users
 switchport
 switchport access vlan 255
 switchport mode access
 no ip address
end
",4403.a701.4116,192.168.255.130,Vlan255,192.168.255.130,ut_fl_sales_east,GigabitEthernet0,cisco AIR-CAP3502E-A-K9
Gi7/5,user port,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 163 bytes
!
interface GigabitEthernet7/5
 description user port
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",0001.6ccf.c9b1,192.168.17.172,Vlan16,,,,
Gi7/6,IT users,notconnect,9,full,auto,10/100/1000BaseT,access,9,24,,,,,"Building configuration...

Current configuration : 161 bytes
!
interface GigabitEthernet7/6
 description IT users
 switchport
 switchport access vlan 9
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi7/7,webgwp1,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 161 bytes
!
interface GigabitEthernet7/7
 description webgwp1
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","20bb.c021.36c5
d8cb.8adb.ed06","192.168.25.183
192.168.16.91","Vlan24
Vlan16",192.168.25.183,SEP20BBC02136C5,Port 1,Cisco IP Phone 8945
Gi7/8,adp term server 1,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,,,"Building configuration...

Current configuration : 146 bytes
!
interface GigabitEthernet7/8
 description adp term server 1
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/9,webgwm1,notconnect,9,full,auto,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface GigabitEthernet7/9
 description webgwm1
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/10,webgwm2,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,,,"Building configuration...

Current configuration : 137 bytes
!
interface GigabitEthernet7/10
 description webgwm2
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/12,utna2,notconnect,9,full,auto,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 133 bytes
!
interface GigabitEthernet7/12
 description utna2
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/13,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet7/13
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3671,192.168.24.82,Vlan24,192.168.24.82,SEP20BBC0213671,Port 1,Cisco IP Phone 8945
Gi7/14,users,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 160 bytes
!
interface GigabitEthernet7/14
 description users
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",e0d1.730a.f185,192.168.25.227,Vlan24,192.168.25.227,SEPE0D1730AF185,Port 1,Cisco IP Phone 7965
Gi7/15,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet7/15
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi7/16,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet7/16
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi7/17,,connected,330,a-full,a-1000,10/100/1000BaseT,access,330,24,,,,,"Building configuration...

Current configuration : 142 bytes
!
interface GigabitEthernet7/17
 switchport
 switchport access vlan 330
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",0023.5ec8.e194,172.20.230.28,Vlan330,172.20.230.28,ut_fl_accounting,GigabitEthernet0,cisco AIR-LAP1252AG-A-K9
Gi7/18,*--- Freightliner Users ---*,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 181 bytes
!
interface GigabitEthernet7/18
 description --- Freightliner Users ---
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi7/19,,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 114 bytes
!
interface GigabitEthernet7/19
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
end
",48ba.4e3a.1e40,192.168.9.79,Vlan9,,,,
Gi7/21,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet7/21
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","b4e9.b0b0.0095
4437.e6c0.337b","192.168.25.199
192.168.17.74","Vlan24
Vlan16",192.168.25.199,SEPB4E9B0B00095,Port 1,Cisco IP Phone 8945
Gi7/22,,notconnect,255,full,auto,10/100/1000BaseT,access,255,,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet7/22
 switchport
 switchport access vlan 255
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/24,,notconnect,350,full,auto,10/100/1000BaseT,,350,,,,,,"Building configuration...

Current configuration : 92 bytes
!
interface GigabitEthernet7/24
 switchport
 switchport access vlan 350
 no ip address
end
",,,,,,,
Gi7/38,*---Trunk to Temp 3650---*,notconnect,1,full,auto,10/100/1000BaseT,trunk,,,"1,16,20,21,24,255,256,300",,55,on,"Building configuration...

Current configuration : 246 bytes
!
interface GigabitEthernet7/38
 description ---Trunk to Temp 3650---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,16,20,21,24,255,256,300
 switchport mode trunk
 no ip address
 channel-group 55 mode on
end
",,,,,,,
Gi7/39,*---NetAppEtherChannel---*,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,6,on,"Building configuration...

Current configuration : 203 bytes
!
interface GigabitEthernet7/39
 description ---NetAppEtherChannel---
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 flowcontrol receive on
 channel-group 6 mode on
end
",,,,,,,
Gi7/40,*---NetAppEtherChannel---*,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,5,on,"Building configuration...

Current configuration : 203 bytes
!
interface GigabitEthernet7/40
 description ---NetAppEtherChannel---
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 flowcontrol receive on
 channel-group 5 mode on
end
",,,,,,,
Gi7/41,*--- Roof Antenna to CR England ---*,notconnect,10,full,auto,10/100/1000BaseT,access,10,,,,,,"Building configuration...

Current configuration : 163 bytes
!
interface GigabitEthernet7/41
 description --- Roof Antenna to CR England ---
 switchport
 switchport access vlan 10
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/42,,notconnect,255,full,auto,10/100/1000BaseT,access,255,,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet7/42
 switchport
 switchport access vlan 255
 switchport mode access
 no ip address
end
",,,,,,,
Gi7/43,,connected,15,a-full,a-1000,10/100/1000BaseT,access,15,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet7/43
 switchport
 switchport access vlan 15
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.36a7,192.168.25.182,Vlan24,192.168.25.182,SEP20BBC02136A7,Port 1,Cisco IP Phone 8945
Gi7/44,,notconnect,1,full,auto,10/100/1000BaseT,trunk,,,"2,40,256",,,,"Building configuration...

Current configuration : 165 bytes
!
interface GigabitEthernet7/44
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 2,40,256
 switchport mode trunk
 no ip address
end
",,,,,,,
Gi7/45,,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 114 bytes
!
interface GigabitEthernet7/45
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
end
",a08c.fd17.258b,192.168.9.74,Vlan9,,,,
Gi7/46,*-- Link to Secondary ASA --*,notconnect,1,full,auto,10/100/1000BaseT,trunk,,,"260,261,900",,,,"Building configuration...

Current configuration : 235 bytes
!
interface GigabitEthernet7/46
 description -- Link to Secondary ASA --
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 260,261,900
 switchport mode trunk
 no ip address
 service-policy input QOS
end
",,,,,,,
Gi7/47,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet7/47
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi7/48,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet7/48
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3673,192.168.25.180,Vlan24,192.168.25.180,SEP20BBC0213673,Port 1,Cisco IP Phone 8945
Gi8/1,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/1
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","5cfc.665c.4842
0023.24ba.856d","192.168.24.43
192.168.16.218","Vlan24
Vlan16",192.168.24.43,SEP5CFC665C4842,Port 1,Cisco IP Phone 7945
Gi8/2,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/2
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",5067.ae25.9e75,192.168.24.59,Vlan24,192.168.24.59,SEP5067AE259E75,Port 1,Cisco IP Phone 8945
Gi8/3,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/3
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/4,,notconnect,256,full,auto,10/100/1000BaseT,access,256,,"2,40,256",,,,"Building configuration...

Current configuration : 193 bytes
!
interface GigabitEthernet8/4
 switchport
 switchport access vlan 256
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 2,40,256
 switchport mode access
 no ip address
end
",,,,,,,
Gi8/5,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet8/5
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/6,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/6
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","20bb.c021.3589
54ee.751c.c8e9","192.168.24.113
192.168.16.100","Vlan24
Vlan16",192.168.24.113,SEP20BBC0213589,Port 1,Cisco IP Phone 8945
Gi8/7,,connected,16,a-full,a-10,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/7
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/8,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/8
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",5067.ae25.9b97,192.168.26.53,Vlan24,192.168.26.53,SEP5067AE259B97,Port 1,Cisco IP Phone 8945
Gi8/9,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet8/9
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","0c27.2431.6cbe
d8cb.8a61.d3b7","192.168.24.86
192.168.16.64","Vlan24
Vlan16",192.168.24.86,SEP0c2724316cbe,Port 1,Cisco IP Phone 3905
Gi8/10,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/10
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",0022.ee02.15b4,192.168.16.228,Vlan16,,,,
Gi8/11,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/11
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","d43d.7eab.f02d
b4e9.b0b0.00cd","192.168.17.54
192.168.25.202","Vlan16
Vlan24",192.168.25.202,SEPB4E9B0B000CD,Port 1,Cisco IP Phone 8945
Gi8/12,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/12
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/13,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/13
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","8478.aced.2249
fc4d.d4d2.94d3","192.168.24.37
192.168.16.105","Vlan24
Vlan16",192.168.24.37,SEP8478ACED2249,Port 1,Cisco IP Phone 8945
Gi8/14,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/14
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","20bb.c021.1768
448a.5beb.bf93","192.168.25.196
192.168.17.12","Vlan24
Vlan16",192.168.25.196,SEP20BBC0211768,Port 1,Cisco IP Phone 8945
Gi8/15,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/15
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","448a.5b56.1a51
c414.3c96.f93e","192.168.16.74
192.168.24.29","Vlan16
Vlan24",192.168.24.29,SEPC4143C96F93E,Port 1,Cisco IP Phone 7965
Gi8/16,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/16
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","448a.5b54.ef19
20bb.c021.3661","192.168.16.65
192.168.25.191","Vlan16
Vlan24",192.168.25.191,SEP20BBC0213661,Port 1,Cisco IP Phone 8945
Gi8/17,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/17
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",e8ed.f3a9.2acd,192.168.25.184,Vlan24,192.168.25.184,SEPE8EDF3A92ACD,Port 1,Cisco IP Phone 8945
Gi8/18,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/18
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3517,192.168.25.176,Vlan24,192.168.25.176,SEP20BBC0213517,Port 1,Cisco IP Phone 8945
Gi8/19,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/19
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3709,192.168.25.90,Vlan24,192.168.25.90,SEP20BBC0213709,Port 1,Cisco IP Phone 8945
Gi8/20,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/20
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","20bb.c021.3683
d8cb.8ad9.c044","192.168.25.83
192.168.16.102","Vlan24
Vlan16",192.168.25.83,SEP20BBC0213683,Port 1,Cisco IP Phone 8945
Gi8/21,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/21
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.36e1,192.168.25.192,Vlan24,192.168.25.192,SEP20BBC02136E1,Port 1,Cisco IP Phone 8945
Gi8/22,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/22
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","90fb.a67a.58e3
e8ed.f3a9.3121","192.168.16.62
192.168.25.226","Vlan16
Vlan24",192.168.25.226,SEPE8EDF3A93121,Port 1,Cisco IP Phone 8945
Gi8/23,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/23
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.35f1,192.168.25.168,Vlan24,192.168.25.168,SEP20BBC02135F1,Port 1,Cisco IP Phone 8945
Gi8/24,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/24
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.36c3,192.168.25.198,Vlan24,192.168.25.198,SEP20BBC02136C3,Port 1,Cisco IP Phone 8945
Gi8/25,,notconnect,20,full,auto,10/100/1000BaseT,access,20,,,,,,"Building configuration...

Current configuration : 115 bytes
!
interface GigabitEthernet8/25
 switchport
 switchport access vlan 20
 switchport mode access
 no ip address
end
",,,,,,,
Gi8/26,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/26
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/27,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/27
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",5067.ae25.9d8b,192.168.25.175,Vlan24,192.168.25.175,SEP5067AE259D8B,Port 1,Cisco IP Phone 8945
Gi8/28,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/28
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,192.168.25.114,SEP20BBC0213663,Port 1,Cisco IP Phone 8945
Gi8/29,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/29
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","e8ed.f3a9.3137
3863.bbb7.fd1a","192.168.25.185
192.168.16.169","Vlan24
Vlan16",192.168.25.185,SEPE8EDF3A93137,Port 1,Cisco IP Phone 8945
Gi8/30,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/30
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","a0b3.ccf9.6635
f84f.5794.8785","192.168.16.235
192.168.24.76","Vlan16
Vlan24",192.168.24.76,SEPF84F57948785,Port 1,Cisco IP Phone 7965
Gi8/31,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/31
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3617,192.168.25.193,Vlan24,192.168.25.193,SEP20BBC0213617,Port 1,Cisco IP Phone 8945
Gi8/32,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/32
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/33,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/33
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.36dd,192.168.24.89,Vlan24,192.168.24.89,SEP20BBC02136DD,Port 1,Cisco IP Phone 8945
Gi8/34,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/34
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/35,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/35
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",e8ed.f3a9.2bdb,192.168.26.42,Vlan24,192.168.26.42,SEPE8EDF3A92BDB,Port 1,Cisco IP Phone 8945
Gi8/36,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/36
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.362d,192.168.25.178,Vlan24,192.168.25.178,SEP20BBC021362D,Port 1,Cisco IP Phone 8945
Gi8/37,,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 114 bytes
!
interface GigabitEthernet8/37
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
end
",dc4a.3eb3.bd47,192.168.9.57,Vlan9,,,,
Gi8/38,,connected,trunk,a-full,a-1000,10/100/1000BaseT,trunk,,,"16,24,255,330",,,,"Building configuration...

Current configuration : 170 bytes
!
interface GigabitEthernet8/38
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 16,24,255,330
 switchport mode trunk
 no ip address
end
","448a.5b53.4eae
20bb.c021.3641
b4e9.b0b0.007d
b4e9.b0b0.00ab","192.168.16.101
192.168.25.157
192.168.25.200
192.168.26.48","Vlan16
Vlan24
Vlan24
Vlan24",,slw-3560sls,GigabitEthernet0/1,
Gi8/39,,notconnect,15,full,auto,10/100/1000BaseT,access,15,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/39
 switchport
 switchport access vlan 15
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
